COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Review,AvgReleaseYearPrice,PriorSaleBrand (M),TotalPriorSalesBrand (M),ConcurrentReleaseBrand,ConcurrentReleaseGenre,PriorReleaseBrand,PriorReleaseGenre,FirstYearUnits,FirstYearSales (M),FirstYearRatio,LTD ASP,LTD Units,LTD Dollars (M)
SUPERCAR STREET CHALLENGE,1,0,0,1,,,ACTIVISION,EXAKT ENTERTAINMENT,RACING,ACTION ORIENTED RACING,2001-10-01,2001,10,E,NO,53,50.00,0,0,0,23,0,4,147826,5.403307,0.494565127,25.00,440726,10.92537
SUPERMAN: SHADOW OF APOKOLIPS,2,1,0,1,SUPERMAN,SUPERMAN,ATARI,INFOGRAMES,ACTION,GENERAL ACTION,2002-09-01,2002,3,E,NO,65,31.50,0,0,0,54,0,33,165357,4.40382,0.823394945,23.00,222150,5.348369
SUPERMAN:MAN OF STEEL,1,0,1,0,SUPERMAN,SUPERMAN,ATARI,CIRCUS FREAK STUDIOS,ACTION,GENERAL ACTION,2002-11-01,2002,11,T,NO,42.09999847,49.00,0,0,0,21,0,2,57718,2.047593625,0.867276037,31.00,75271,2.360948
SUPPER BUBBLE POP,2,1,1,0,,,JALECO,RUNECRAFT,FAMILY,PUZZLE GAMES,2002-12-01,2002,12,E,NO,56.89999962,40.00,0,0,0,6,0,0,6626,0.10077,0.220984419,12.50,36047,0.456005
SURFING: H30,1,0,0,1,,,TAKE 2 INTERACTIVE,OPUS,SPORTS,EXTREME SPORTS,2000-11-01,2000,11,E,NO,41.79999924,49.00,0,0,0,2,0,0,81111,2.092384625,0.86423534,24.00,101107,2.421082
SW: BOMBAD RACING,1,0,0,1,STAR WARS,STAR WARS,LUCASARTS,LUCASARTS,RACING,ACTION ORIENTED RACING,2001-04-01,2001,4,E,NO,62.20000076,45.00,0,0,1,23,0,4,56323,2.485242,0.904145202,42.00,65837,2.74872
SW: RACER REVENGE,1,0,0,1,STAR WARS,STAR WARS,LUCASARTS,RAINBOW STUDIOS,RACING,ACTION ORIENTED RACING,2002-02-01,2002,2,E,NO,74.69999695,30.00,13.451914,15.937156,5,15,2,28,107956,3.26649275,0.949342724,29.00,118588,3.440794
SW: ROGUE SQUADRON II,1,1,0,0,STAR WARS,STAR WARS,LUCASARTS,FACTOR 5,FLIGHT,SPACE COMBAT SIMULATIONS,2001-11-01,2001,11,T,NO,89.90000153,49.00,0,0,0,0,0,0,662059,31.383448,0.872290665,41.00,886370,35.9782
SW: STARFIGHTER BNDL,1,0,0,1,STAR WARS,STAR WARS,LUCASARTS,,FLIGHT,SPACE COMBAT SIMULATIONS,2002-04-01,2002,4,T,NO,,49.00,13.451914,15.937156,5,4,2,1,37943,1.785741375,0.74218273,43.00,56216,2.406067
SW:ROGUE SQUADRON III,1,1,0,0,STAR WARS,STAR WARS,LUCASARTS,FACTOR 5,FLIGHT,SPACE COMBAT SIMULATIONS,2003-10-01,2003,10,T,NO,76.19999695,49.00,7.580992,51.611192,0,0,4,2,438270,17.028354,0.904843747,36.00,522821,18.81911
SWAT GLOBAL STRIKE TEAM,2,0,1,1,SWAT,,VIVENDI UNIVERSAL,ARGONAUT SOFTWARE,SHOOTER,1ST PERSON SHOOTER,2003-10-01,2003,10,M,NO,71.84999847,49.50,0,0,0,18,0,27,186379,6.93592825,0.894398417,35.00,222274,7.754853
SWING AWAY GOLF,1,0,0,1,,,ELECTRONIC ARTS,T&E SOFT,SPORTS,GOLF,2000-10-01,2000,10,E,NO,75.69999695,48.00,0,0,0,0,0,0,97152,3.75610425,0.794777183,35.00,133407,4.725984
SWINGERZ GOLF,1,1,0,0,,,EIDOS INTERACTIVE,TELENET JAPAN,SPORTS,GOLF,2002-10-01,2002,10,E,NO,71.59999847,40.00,0,0,0,2,0,0,29892,0.632600188,0.711664714,17.00,52238,0.888902
SX SUPERSTAR,2,1,1,0,,,ACCLAIM,CLIMAX GROUP,RACING,SPORTS ORIENTED RACING,2003-06-01,2003,6,T,NO,55.45000076,25.00,0,0,0,8,0,15,28746,0.5992195,0.723120395,18.50,44441,0.828658
SYBERIA,1,0,1,0,SYBERIA,,XS GAMES,MICROIDS,ADVENTURE,GENERAL ADVENTURE,2003-07-01,2003,7,T,NO,71.40000153,19.00,0,0,0,5,0,9,43983,0.78504375,0.819367035,17.00,57620,0.95811
SYBERIA II,1,0,1,0,SYBERIA,,XS GAMES,MICROIDS,ADVENTURE,GENERAL ADVENTURE,2004-10-01,2004,10,T,NO,70.19999695,20.00,0.78504375,0.78504375,0,5,1,15,6558,0.130871,0.497220797,20.00,13464,0.263205
SYPHON FILTER: OMEGA,1,0,0,1,SYPHON FILTER,,SONY,SONY BEND,ACTION,STEALTH ACTION,2004-05-01,2004,5,M,YES,,43.00,0,0,0,8,0,9,168070,7.266305,0.891275459,39.00,209259,8.152704
T. CLANCYS BLACK ARROW,1,0,1,0,TOM CLANCY,TOM CLANCY,UBISOFT,UBISOFT ENTERTAINMENT,SHOOTER,SQUAD BASED COMBAT,2004-08-01,2004,8,M,YES,,38.00,29.335048,120.197936,3,4,5,10,240902,9.170523,0.886985273,36.00,288782,10.33898
T. CLANCYS CLASSIC TRILOGY,1,0,1,0,TOM CLANCY,TOM CLANCY,UBISOFT,UBISOFT ENTERTAINMENT,OTHER GAMES,BUNDLES/COMPILATIONS,2004-11-01,2004,11,M,YES,,36.00,29.335048,120.197936,3,3,5,4,25368,0.923635,0.492836638,37.00,50564,1.87412
TAIKO DRUM MSTR W/CNT,1,0,0,1,,,NAMCO,NAMCO,FAMILY,MUSIC/DANCE GAMES,2004-10-01,2004,10,E,NO,78.90000153,59.00,0,0,0,13,0,19,27434,1.607947,0.632557651,54.00,46778,2.541977
TAK 2: THE STAFF OF DREAMS,3,1,1,1,TAK,NICKELODEON,THQ,AVALANCHE SOFTWARE,ACTION,PLATFORM/SCROLLING CHARACTER,2004-10-01,2004,10,E,NO,74.63333384,38.00,21.6683965,21.6683965,0,53,2,99,365224,13.92176,0.811777685,34.67,489751,17.14972
TAK AND THE POWER OF JUJU,2,1,0,1,TAK,NICKELODEON,THQ,AVALANCHE SOFTWARE,ACTION,PLATFORM/SCROLLING CHARACTER,2003-10-01,2003,10,E,NO,72.15000153,39.00,0,0,0,33,0,42,612565,21.6683965,0.935363155,34.50,677245,23.165758
TALES OF SYMPHONIA,1,1,0,0,,,NAMCO,NAMCO,RPG,RPG,2004-07-01,2004,7,T,NO,85.5,49.00,0,0,0,12,0,12,279696,13.568,0.870762829,43.00,359137,15.58174
TAO FENG: FIST LOTUS,1,0,1,0,,,MICROSOFT,STUDIO GIGANTE,FIGHTING,FIGHT/HEAD TO HEAD,2003-03-01,2003,3,M,NO,67.90000153,43.00,0,0,0,9,0,7,137317,5.700146,0.931908803,38.00,160807,6.116635
TARZAN UNTAMED,1,1,0,0,TARZAN,TARZAN,UBISOFT,UBISOFT ENTERTAINMENT,ACTION,GENERAL ACTION,2001-11-01,2001,11,E,NO,63.40000153,50.00,0,0,0,2,0,0,84240,2.97173675,0.809749669,31.00,118544,3.669945
TAZ WANTED,3,1,1,1,TAZ,LOONEY TUNES,ATARI,BLITZ GAMES,ACTION,PLATFORM/SCROLLING CHARACTER,2002-09-01,2002,9,E,NO,60.23333359,32.33,0,0,0,39,0,12,121932,3.263749563,0.819668522,24.67,159985,3.981792
